major_key,major_mode,minor_key,minor_mode,distance
C,Major,A,Minor,2.2290813023534133
C#,Major,Bb,Minor,1.0720424988149742
D,Major,B,Minor,1.3403212565423956
Eb,Major,C,Minor,1.198254345324289
E,Major,C#,Minor,1.780374595476542
F,Major,D,Minor,0.8385608806038782
F#,Major,Eb,Minor,1.186175492912713
G,Major,E,Minor,0.3861785532954225
Ab,Major,F,Minor,2.126462989023078
A,Major,F#,Minor,2.080214682470076
Bb,Major,G,Minor,0.307448068470399
B,Major,Ab,Minor,1.6775174076680837
